threshold,fpr,tpr
0.3237720621605954,0.138,0.504
0.31131614544218783,0.138,0.512
0.3084747425832324,0.14,0.512
0.30838958354295454,0.14,0.514
0.3024270155632346,0.142,0.514
0.29970141327317146,0.142,0.52
0.29637804178317706,0.144,0.52
0.2953006672320085,0.144,0.522
0.2944687725152867,0.146,0.522
0.26697840989600685,0.146,0.532
0.26332271348269015,0.154,0.532
0.2632613787414439,0.154,0.534
0.26257589672129084,0.156,0.534
0.24175562449992435,0.156,0.554
0.23843254921611784,0.158,0.554
0.23370571153746425,0.158,0.558
0.22746433440522132,0.164,0.558
0.22545224974133735,0.164,0.564
0.2230226410339457,0.168,0.564
0.21271498059847538,0.168,0.566
0.21158527235314706,0.172,0.566
0.21100183828756933,0.172,0.568
0.2095959337630757,0.174,0.568
0.20734720167310883,0.174,0.57
0.1955858462107037,0.18,0.57
0.1928983258713829,0.18,0.572
0.19016601982062198,0.182,0.572
0.18757040691215418,0.182,0.574
0.18213037035053115,0.186,0.574
0.17545928731401755,0.186,0.582
0.16898679058826493,0.192,0.582
0.16320021892284017,0.192,0.588
0.162333267311972,0.194,0.588
0.1553612852947778,0.194,0.6
0.15246596100453738,0.196,0.6
0.15177280368498458,0.196,0.602
0.15126169077794377,0.198,0.602
0.14955274094636942,0.198,0.604
0.14867301131974225,0.2,0.604
0.1464496567838178,0.2,0.608
0.1444060624657133,0.202,0.608
0.13652190049431148,0.202,0.614
0.12980139665222196,0.208,0.614
0.12830490140440873,0.208,0.618
0.12108828310430045,0.21,0.618
0.11978402057721677,0.21,0.62
0.11971673675925729,0.212,0.62
0.1175011034409896,0.212,0.622
0.11477933149566932,0.218,0.622
0.11256991887022805,0.218,0.626
0.11033940245448882,0.22,0.626
0.10632604862494192,0.22,0.632
0.10612625645677706,0.222,0.632
0.10292611473115873,0.222,0.634
0.10240396815341032,0.224,0.634
0.09820827254940194,0.224,0.638
0.08969125037805528,0.234,0.638
0.08914345574268595,0.234,0.64
0.08491240640885102,0.236,0.64
0.08449152216716238,0.236,0.642
0.08254875163360814,0.238,0.642
0.08201867271037275,0.238,0.644
0.07959646698635169,0.244,0.644
0.07259095343149932,0.244,0.646
0.07252938163894447,0.246,0.646
0.0695309040658356,0.246,0.652
0.06779771454094072,0.248,0.652
0.06448069289769529,0.248,0.654
0.06439005758389713,0.25,0.654
0.06307786243858575,0.25,0.656
0.0601327197299258,0.252,0.656
0.0598331311025303,0.252,0.658
0.054641439907073694,0.258,0.658
0.0538028643341248,0.258,0.66
0.05349638357011331,0.262,0.66
0.05331393363544266,0.262,0.662
0.05264390776452851,0.264,0.662
0.05184079005162538,0.264,0.664
0.050309402912395905,0.266,0.664
0.04699524448416343,0.266,0.666
0.04456772687995516,0.276,0.666
0.04125866034722996,0.276,0.67
0.03939352158506326,0.28,0.67
0.03880023869974204,0.28,0.672
0.03792465198617599,0.282,0.672
0.036908592574024846,0.282,0.674
0.035189269290948566,0.286,0.674
0.03368309684554933,0.286,0.68
0.03357455234398688,0.288,0.68
0.029880652385561857,0.288,0.686
0.027562056355910206,0.292,0.686
0.02747379000523078,0.292,0.688
0.026829586682167447,0.296,0.688
0.02390756350764016,0.296,0.69
0.01842869723231924,0.306,0.69
0.01691972791299042,0.306,0.694
0.016626593460361296,0.308,0.694
0.015627993861712035,0.308,0.7
0.01513030465383426,0.31,0.7
0.013719362920972627,0.31,0.702
0.012893391155578877,0.314,0.702
0.011867355157219848,0.314,0.71
0.011776012670800556,0.318,0.71
0.009626149694166926,0.318,0.72
0.009414300948863618,0.322,0.72
0.009096022187278882,0.322,0.722
0.008940125462983147,0.324,0.722
0.006848184685156606,0.324,0.728
0.00672028215350128,0.326,0.728
0.006550021799607352,0.326,0.734
0.006366081586574201,0.328,0.734
0.0055521639105128974,0.328,0.738
0.005379021987952196,0.33,0.738
0.004817585377157583,0.33,0.742
0.004688693031618613,0.332,0.742
0.0038110165344263777,0.332,0.75
0.0037494726460003645,0.334,0.75
0.0027848840669276076,0.334,0.756
0.0025337282582483626,0.338,0.756
0.0020801543561301183,0.338,0.766
0.0019919036222894155,0.344,0.766
0.001781828356416144,0.344,0.768
0.0015904931155211466,0.348,0.768
0.0015489575372245603,0.348,0.77
0.0013189587843625433,0.35,0.77
0.0012758350497700092,0.35,0.772
0.0008913211914026262,0.354,0.772
0.0007740854697502764,0.354,0.776
0.0006931004540688667,0.358,0.776
0.00065616833599106,0.358,0.778
0.0006449392088388739,0.36,0.778
0.0006152165515739623,0.36,0.78
0.0005772455502609302,0.364,0.78
0.0005053710263368605,0.364,0.784
0.00043478323808435095,0.368,0.784
0.0004332623341436481,0.368,0.786
0.000411247629703194,0.37,0.786
0.0003966720724886463,0.37,0.788
0.00029638997826559146,0.378,0.788
0.00019572725413103317,0.378,0.798
0.00015548204836373524,0.382,0.798
0.00011203873505549531,0.382,0.804
8.908304435126879e-05,0.384,0.804
8.441828795747032e-05,0.384,0.806
6.244742629414242e-05,0.39,0.806
6.181983640616736e-05,0.39,0.808
5.7725091951839196e-05,0.392,0.808
5.55144716973948e-05,0.392,0.81
3.579039885718589e-05,0.396,0.81
2.422991055044863e-05,0.396,0.816
2.417067441715785e-05,0.398,0.816
2.35716974183618e-05,0.398,0.818
2.3355789941003132e-05,0.4,0.818
9.557738773695138e-06,0.4,0.826
4.986146295050966e-06,0.408,0.826
2.0017879405198228e-06,0.408,0.834
1.4576637295556823e-06,0.412,0.834
1.2277420938570532e-06,0.412,0.836
2.880263720013405e-07,0.422,0.836
1.0151063499203988e-07,0.422,0.838
1.543235937324332e-08,0.424,0.838
1.186495110364866e-08,0.424,0.842
4.066153483231143e-09,0.428,0.842
1.268104809520475e-09,0.428,0.846
1.817867034276348e-11,0.43,0.846
8.510474376666495e-13,0.43,0.848
2.3530404437407123e-14,0.432,0.848
0.0,1.0,1.0
